names,names,stat,log2FoldChange,pvals,padj,p_log10
Plxnd1,Plxnd1,37.21832,5.558492,3.449728447010055e-303,1.5072208557831632e-298,297.8218231050708
Kdr,Kdr,34.537518,5.012172,2.194473972437846e-261,4.793938116489096e-257,256.3193075764435
Cdh5,Cdh5,31.577406,7.9068375,7.542856972602661e-219,1.0985165466332761e-214,213.95919339704352
Tie1,Tie1,31.561323,8.9398775,1.2539110363920792e-218,1.3696156772751583e-214,213.8634012814964
Msn,Msn,30.728354,2.1568105,2.3803290253370254e-207,2.0799791089199995e-203,202.68194102702105
Tln1,Tln1,30.640007,2.285956,3.5907351650256074e-206,2.6147135015855635e-202,201.58257589054313
Shank3,Shank3,29.821306,4.4469132,2.068456051576348e-195,1.2910416192774604e-191,190.8890597571672
Flt4,Flt4,29.734276,6.639562,2.7696238632404856e-194,1.5125954526105006e-190,189.82027720957865
Arap3,Arap3,29.345844,5.7864876,2.6997872532858433e-189,1.3106267209256864e-185,184.88252098193743
Ets1,Ets1,29.257732,3.3457017,3.580379576077087e-188,1.5643036405838401e-184,183.80567894396742
Ets2,Ets2,28.999233,2.9838083,6.727703532237564e-185,2.6721826820635585e-181,180.5731338549165
F2r,F2r,28.928028,2.1626847,5.304009219599369e-184,1.9311455567793e-180,179.7141849907863
Fli1,Fli1,28.876547,4.738554,2.3527293984421292e-183,7.907161549795005e-180,179.10197938811945
Sptbn1,Sptbn1,28.641489,1.6180466,2.046236873384401e-180,6.385866802502705e-177,176.19478014429038
Rasip1,Rasip1,28.519009,6.7859764,6.808967884623932e-179,1.9832707723140283e-175,174.70261798831916
Tal1,Tal1,28.214956,7.567936,3.832892679220476e-175,1.0466432127988864e-171,170.9802013384931
Piezo1,Piezo1,27.643211,2.1096659,3.367719223441152e-168,8.655236505374551e-165,164.06272106047768
Col18a1,Col18a1,27.611132,2.28468,8.180029823634371e-168,1.985520461246718e-164,163.70212563307214
Tspan18,Tspan18,27.016344,3.400655,9.499079447235324e-161,2.1843383164692555e-157,156.66068009600542
Arhgap31,Arhgap31,26.967384,4.2050614,3.567638304282695e-160,7.793684257620762e-157,156.1082571925837
Fgd5,Fgd5,26.958912,4.252313,4.48472891767628e-160,9.330585292485446e-157,156.0300911128104
Stab1,Stab1,26.92957,7.6115,9.898639235104261e-160,1.9658247582770012e-156,155.70645519957887
